Row Labels,Average of AVG_DEPTH,Average of Percent_Cvr
Peysonnellia,5.181599834,1
Porifera spp,5.181599834,3
Porites astreoides,5.257799832,1
Porites furcata,5.333999829,1
Rhodophyta cru. spp,5.181599834,4
Turf Algae Free of Sediment,5.257799832,36
1358,7.723093871,6.558823529
Bare Substrate,7.696199754,5.5
Cyanophyta spp,7.772399751,2
Dictyota spp,7.696199754,41
Erythropodium caribaeorum,7.696199754,1
Gorgonians,7.772399751,2
Halimeda spp,7.772399751,2
Meandrina meandrites,7.772399751,2
Other species,7.696199754,1
Palythoa spp,7.772399751,10
Peysonnellia,7.772399751,1
Porifera spp,7.696199754,3
Porites astreoides,7.696199754,2.5
Porites porites,7.772399751,2
Rhodophyta cru. spp,7.696199754,4.5
Siderastrea siderea,7.696199754,2
Stephanocoenia intersepta,7.619999756,2
Turf Algae Free of Sediment,7.696199754,28
1360,5.720861355,7.807692308
Bare Substrate,5.714999817,30.5
Dichocoenia stokesii,5.63879982,1
Dictyota spp,5.714999817,6.5
Gorgonians,5.714999817,3.5
Halimeda spp,5.714999817,2
MacroOtherCalcareous,5.714999817,1
MacroOtherFleshy,5.714999817,3
Oculina diffusa,5.791199815,1
Peysonnellia,5.714999817,2
Porifera spp,5.714999817,14
Porites porites,5.791199815,1
Rhodophyta cru. spp,5.714999817,3.5
Turf Algae Free of Sediment,5.714999817,32.5
1361,3.809999878,16.75
Bare Substrate,3.809999878,36
Halimeda spp,3.809999878,2
MacroOtherCalcareous,3.809999878,1
MacroOtherFleshy,3.809999878,45
Rhodophyta cru. spp,3.809999878,7.5
Turf Algae Free of Sediment,3.809999878,9
1363,7.325138896,8.782608696
Bare Substrate,7.429499762,37.5
Dictyota spp,6.934199778,4
Gorgonians,7.429499762,6.75
Halimeda spp,6.934199778,3
MacroOtherFleshy,7.429499762,9.5
Millepora spp,6.934199778,2
Other species,7.391399764,1.5
Palythoa spp,6.934199778,1.5
Peysonnellia,6.934199778,2.5
Porifera spp,7.429499762,9.75
Porites furcata,7.010399776,1
Pseudodiploria strigosa,7.924799746,2
Rhodophyta cru. spp,6.934199778,1
Siderastrea siderea,7.467599761,3.5
Stephanocoenia intersepta,7.924799746,3
Turf Algae Free of Sediment,6.934199778,23
Turf Algae with Sediment,7.924799746,22
1364,7.670799755,6.8
Bare Substrate,7.696199754,26
Dictyota spp,7.696199754,34
Erythropodium caribaeorum,7.696199754,2.5
Gorgonians,7.696199754,2.5
Halimeda spp,7.696199754,4.5
MacroOtherFleshy,7.696199754,2
Millepora spp,7.696199754,1
Other species,8.077199742,1
Palythoa spp,7.696199754,5
Peysonnellia,7.696199754,1.5
Porifera spp,7.696199754,6.5
Porites astreoides,7.315199766,1
Rhodophyta cru. spp,7.696199754,5
Siderastrea siderea,7.315199766,2
Turf Algae Free of Sediment,7.696199754,7.5
1366,3.200399898,9.454545455
Bare Substrate,3.200399898,7
Erythropodium caribaeorum,3.200399898,4
Gorgonians,3.200399898,2.5
Halimeda spp,3.200399898,11
Other species,3.200399898,2
Palythoa spp,3.200399898,3
Peysonnellia,3.200399898,12
Porifera spp,3.200399898,10.5
Porites astreoides,3.200399898,2
Rhodophyta cru. spp,3.200399898,23.5
Turf Algae Free of Sediment,3.200399898,26.5
1367,11.92763227,6.215863665
Agaricia agaricites,16.07819949,1
Bare Substrate,12.5983996,20.07216495
Colpophyllia natans,9.372599702,5.515463918
Cyanophyta spp,5.486399824,2
Dictyota spp,16.15439949,18.98195877
Encrusting gorgonian,12.34439961,4.5
Erythropodium caribaeorum,13.10639958,4.608247423
Eusmilia fastigiata,12.95399959,1
Gorgonians,12.34439961,4.5
Halimeda spp,12.95399959,1
Lobophora spp,13.10639958,20.29381443
MacroOtherCalcareous,5.486399824,1
MacroOtherFleshy,5.486399824,2
Meandrina meandrites,5.486399824,2
Montastraea cavernosa,12.34439961,2.5
Orbicella annularis,5.486399824,1
Orbicella faveolata,9.372599702,2.015463918
Other species,12.5475996,2
Peysonnellia,13.25879958,1.030927835
Porifera spp,12.5983996,12.17697595
Porites astreoides,9.296399702,1.257731959
Pseudodiploria strigosa,13.25879958,1.030927835
Rhodophyta cru. spp,16.15439949,5.81185567
Siderastrea radians,5.486399824,1
Siderastrea siderea,12.5983996,7.005154639
Stephanocoenia intersepta,12.6491996,2.343642612
Turf Algae Free of Sediment,16.15439949,4.827319588
Turf Algae with Sediment,12.34439961,17
1368,9.731586356,6.933333333
Acropora cervicornis,10.36319967,7
Agaricia agaricites,4.876799844,1
Bare Substrate,7.810499752,15.5
Cyanophyta spp,4.876799844,3
Dichocoenia stokesii,4.876799844,1
Dictyota spp,15.7352995,35.75
Encrusting gorgonian,8.000999742,6
Gorgonians,7.810499752,3
Halimeda spp,10.74419966,2
Lobophora spp,10.36319967,4
MacroOtherCalcareous,4.876799844,2
MacroOtherFleshy,12.80159959,1.5
Madracis decactis,20.72639934,1
Millepora spp,12.80159959,1
Montastraea cavernosa,8.000999742,3
Orbicella annularis,11.12519964,2
Orbicella faveolata,11.12519964,1
Other species,4.876799844,2
Palythoa spp,4.876799844,3
Peysonnellia,7.810499752,2
Porifera spp,12.11579961,10.5
Porites astreoides,8.000999742,1
Porites porites,11.12519964,1
Rhodophyta cru. spp,10.74419966,16.5
Siderastrea radians,4.876799844,1
Siderastrea siderea,7.810499752,8.25
Solenastrea bournoni,11.12519964,2
Stephanocoenia intersepta,4.876799844,5
Turf Algae Free of Sediment,12.11579961,8.666666667
Turf Algae with Sediment,12.80159959,23
1369,8.600439725,7.3
Bare Substrate,8.610599724,25.5
Dictyota spp,8.610599724,33
Erythropodium caribaeorum,8.610599724,2.5
Gorgonians,8.610599724,2.5
Halimeda spp,8.610599724,1
Madracis decactis,8.534399727,1
Millepora spp,8.534399727,1
Orbicella faveolata,8.534399727,1
Palythoa spp,8.686799722,10
Peysonnellia,8.534399727,4
Porifera spp,8.610599724,14
Porites astreoides,8.686799722,2
Rhodophyta cru. spp,8.610599724,3.5
Siderastrea siderea,8.610599724,1
Turf Algae Free of Sediment,8.610599724,7.5
1370,6.084276728,7.692307692
Bare Substrate,6.095999805,19.5
Dichocoenia stokesii,5.94359981,1
Dictyota spp,6.095999805,6
Gorgonians,5.94359981,1
Halimeda spp,6.095999805,3
MacroOtherFleshy,6.095999805,4
Millepora spp,6.095999805,2
Montastraea cavernosa,6.095999805,1.5
Other species,6.2483998,3
Palythoa spp,6.095999805,12
Peysonnellia,5.94359981,2
Porifera spp,6.095999805,7.5
Pseudodiploria strigosa,6.2483998,4
Rhodophyta cru. spp,6.095999805,2.5
Stephanocoenia intersepta,5.94359981,1
Turf Algae Free of Sediment,6.095999805,36
1371,6.443869359,8.869565217
Agaricia agaricites,5.791199815,1
Bare Substrate,7.772399751,30
Colpophyllia natans,6.781799783,1
Dictyota spp,5.714999817,36.5
Gorgonians,5.714999817,2.5
Halimeda spp,5.714999817,4
MacroOtherFleshy,5.791199815,3
Millepora spp,5.714999817,2
Montastraea cavernosa,7.772399751,13
Mussa angulosa,7.772399751,1
Orbicella faveolata,7.772399751,10
Palythoa spp,5.714999817,6
Peysonnellia,5.714999817,1.5
Porifera spp,6.743699784,5.25
Porites astreoides,5.63879982,1
Porites porites,5.791199815,1
Rhodophyta cru. spp,5.714999817,5.5
Siderastrea siderea,7.772399751,11
Stephanocoenia intersepta,5.791199815,1
Turf Algae Free of Sediment,5.714999817,33.5
Turf Algae with Sediment,7.772399751,28
1372,6.729045938,7.807692308
Bare Substrate,6.781799783,2
Dictyota spp,6.781799783,40.5
Erythropodium caribaeorum,6.55319979,1
Gorgonians,6.781799783,2
Halimeda spp,6.781799783,6.5
Palythoa spp,6.781799783,3
Peysonnellia,6.781799783,1.5
Porifera spp,6.781799783,9
Porites furcata,6.55319979,1
Porites porites,6.55319979,1
Rhodophyta cru. spp,6.781799783,4
Siderastrea siderea,6.781799783,3
Turf Algae Free of Sediment,6.781799783,27
1373,12.66305414,9.090909091
Bare Substrate,14.55419953,15.5
Cliona spp,7.619999756,1
Colpophyllia natans,7.619999756,14
Cyanophyta spp,14.55419953,6
Dictyota spp,21.48839931,45
Diploria labyrinthiformis,7.619999756,2
Encrusting gorgonian,14.55419953,1.5
Gorgonians,21.48839931,9
Halimeda spp,7.619999756,2
MacroOtherCalcareous,7.619999756,3
Oculina robusta,7.619999756,2
Porifera spp,14.55419953,6.5
Porites astreoides,7.619999756,2
Pseudodiploria strigosa,7.619999756,1
Rhodophyta cru. spp,21.48839931,1
Siderastrea siderea,7.619999756,10
Turf Algae with Sediment,14.55419953,24.5
1374,14.63856382,7.232142857
Agaricia agaricites,21.9455993,1
Bare Substrate,15.12569952,16.25
Cyanophyta spp,21.9455993,4
Dictyota spp,15.12569952,11.75
Encrusting gorgonian,21.9455993,6
Erythropodium caribaeorum,8.229599737,1
Gorgonians,15.12569952,3.25
Halimeda spp,8.305799734,1.5
MacroOtherFleshy,8.305799734,1
Millepora spp,8.229599737,2
Montastraea cavernosa,21.9455993,1
Palythoa spp,8.305799734,2
Peysonnellia,8.305799734,1.5
Porifera spp,15.12569952,5
Porites astreoides,15.16379952,1
Rhodophyta cru. spp,15.12569952,5.5
Siderastrea siderea,8.381999732,1
Stephanocoenia intersepta,15.12569952,1.25
Turf Algae Free of Sediment,15.12569952,29.75
Turf Algae with Sediment,21.9455993,33
1375,13.66058138,6.257575758
Agaricia fragilis,17.67839943,1
Bare Substrate,13.25879957,33.25
Cyanophyta spp,17.67839943,1
Dichocoenia stokesii,8.839199717,1
Dictyota spp,13.25879957,9.5
Encrusting gorgonian,17.67839943,1
Erythropodium caribaeorum,8.839199717,7
Gorgonians,13.25879957,2
Halimeda spp,13.25879957,1
MacroOtherCalcareous,17.67839943,1
MacroOtherFleshy,17.67839943,1
Millepora spp,8.839199717,1
Montastraea cavernosa,17.67839943,5
Other species,17.67839943,1
Palythoa spp,8.839199717,1
Peysonnellia,8.839199717,4
Porifera spp,13.25879957,7.25
Porites astreoides,13.25879957,2
Porites furcata,8.839199717,1
Rhodophyta cru. spp,13.25879957,5.25
Siderastrea radians,17.67839943,3
Siderastrea siderea,13.25879957,3.5
Stephanocoenia intersepta,17.67839943,3
Turf Algae Free of Sediment,8.839199717,33
Turf Algae with Sediment,17.67839943,14
1376,7.339262923,10.65789474
Bare Substrate,7.619999757,39.82432433
Cyanophyta spp,6.857999781,1
Dictyota spp,6.857999781,8.5
Gorgonians,6.857999781,2
Halimeda spp,6.857999781,2
Lobophora spp,6.857999781,1
MacroOtherFleshy,6.857999781,5
Millepora spp,7.619999757,1.175675676
Other species,6.857999781,1
Peysonnellia,8.381999732,1.351351351
Porifera spp,7.619999757,6.22972973
Rhodophyta cru. spp,6.857999781,2
Siderastrea radians,8.381999732,1.351351351
Solenastrea bournoni,6.857999781,1
Turf Algae Free of Sediment,6.857999781,44
Turf Algae with Sediment,8.381999732,37.83783784
1377,5.565647822,8.1
Bare Substrate,7.010399776,7
Colpophyllia natans,7.010399776,1
Cyanophyta spp,7.010399776,1
Dictyota spp,5.562599822,2
Encrusting gorgonian,7.010399776,7
Erythropodium caribaeorum,4.267199863,3
Gorgonians,5.562599822,3.5
Halimeda spp,4.114799868,1
Millepora spp,4.267199863,1.5
Orbicella faveolata,4.419599859,1
Palythoa spp,5.63879982,6.5
Peysonnellia,4.267199863,3.5
Porifera spp,5.63879982,21.75
Porites astreoides,4.267199863,7
Porites furcata,4.114799868,1
Rhodophyta cru. spp,5.63879982,17.5
Siderastrea siderea,7.010399776,3
Stephanocoenia intersepta,7.010399776,5
Turf Algae Free of Sediment,4.267199863,40
Turf Algae with Sediment,7.010399776,18
1378,9.482137197,6.46875
Agaricia agaricites,9.296399703,2
Bare Substrate,9.524999695,28.5
Dictyota spp,9.296399703,2
Encrusting gorgonian,9.753599688,1
Erythropodium caribaeorum,9.524999695,2
Gorgonians,9.524999695,1.5
Halimeda spp,9.524999695,14.5
Other species,9.296399703,1
Palythoa spp,9.296399703,1
Peysonnellia,9.524999695,2
Porifera spp,9.524999695,12
Porites furcata,9.524999695,1.5
Rhodophyta cru. spp,9.524999695,10.5
Siderastrea siderea,9.524999695,3
Stephanocoenia intersepta,9.524999695,1.5
Turf Algae Free of Sediment,9.524999695,19.5
1379,11.91386962,7.575
Agaricia agaricites,20.11679936,2
Bare Substrate,12.31899961,30.5
Cyanophyta spp,20.11679936,1
Dichocoenia stokesii,8.229599737,2
Dictyota spp,20.11679936,27
Encrusting gorgonian,14.32559954,7
Erythropodium caribaeorum,8.305799734,2
Gorgonians,8.420099731,2
Halimeda spp,8.305799734,5
Lobophora spp,20.11679936,1
MacroOtherCalcareous,8.534399727,4
MacroOtherFleshy,20.11679936,2
Millepora spp,8.381999732,1
Montastraea cavernosa,12.34439961,1.333333333
Orbicella faveolata,8.381999732,1
Other species,8.305799734,1.5
Palythoa spp,8.305799734,3.5
Peysonnellia,8.305799734,5
Porifera spp,12.31899961,14.83333333
Porites astreoides,8.229599737,1
Rhodophyta cru. spp,12.31899961,4.833333333
Siderastrea radians,8.534399727,1
Siderastrea siderea,12.31899961,5.666666667
Stephanocoenia intersepta,8.420099731,4.25
Turf Algae Free of Sediment,8.305799734,7
Turf Algae with Sediment,14.32559954,19
1380,8.686799722,5.916666667
Bare Substrate,8.686799722,42
Dictyota spp,8.686799722,2
Diploria labyrinthiformis,8.686799722,1
Gorgonians,8.686799722,1
Halimeda spp,8.686799722,11
MacroOtherCalcareous,8.686799722,1
Millepora spp,8.686799722,2
Montastraea cavernosa,8.686799722,1
Orbicella faveolata,8.686799722,1
Other species,8.686799722,1
Palythoa spp,8.686799722,2
Peysonnellia,8.686799722,1
Porifera spp,8.686799722,11
Porites astreoides,8.686799722,1
Rhodophyta cru. spp,8.686799722,4.5
Siderastrea siderea,8.686799722,7.5
Stephanocoenia intersepta,8.686799722,3.5
Turf Algae Free of Sediment,8.686799722,13
1381,6.934199778,6.78125
Acropora cervicornis,6.857999781,6
Bare Substrate,6.934199778,32
Cliona spp,6.857999781,1
Dictyota spp,6.934199778,16
Erythropodium caribaeorum,6.857999781,1
Gorgonians,6.857999781,3
Halimeda spp,6.934199778,10
MacroOtherCalcareous,6.934199778,1.5
Millepora spp,6.934199778,1.5
Montastraea cavernosa,7.010399776,1
Peysonnellia,7.010399776,1
Porifera spp,6.934199778,16
Rhodophyta cru. spp,7.010399776,3
Siderastrea siderea,6.934199778,2.5
Stephanocoenia intersepta,7.010399776,1
Turf Algae Free of Sediment,6.934199778,12
1383,9.601199693,7.1
Agaricia agaricites,9.601199693,1
Bare Substrate,9.601199693,37
Dictyota spp,9.601199693,6
Gorgonians,9.601199693,2
Halimeda spp,9.601199693,2
MacroOtherFleshy,9.601199693,1
Millepora spp,9.601199693,2
Orbicella faveolata,9.601199693,2
Peysonnellia,9.601199693,1
Porifera spp,9.601199693,3.5
Porites astreoides,9.601199693,1
Porites furcata,9.601199693,1
Rhodophyta cru. spp,9.601199693,5
Siderastrea siderea,9.601199693,2
Turf Algae Free of Sediment,9.601199693,40
1384,7.010399776,7.142857143
Colpophyllia natans,7.010399776,1
Dichocoenia stokesii,7.010399776,1
Diploria labyrinthiformis,7.010399776,2
Encrusting gorgonian,7.010399776,1
Gorgonians,7.010399776,2
Halimeda spp,7.010399776,6
MacroOtherCalcareous,7.010399776,4
Millepora spp,7.010399776,2
Porifera spp,7.010399776,13
Porites astreoides,7.010399776,1
Pseudodiploria strigosa,7.010399776,1
Siderastrea siderea,7.010399776,15
Stephanocoenia intersepta,7.010399776,4
Turf Algae with Sediment,7.010399776,47
1385,6.86409578,8.12
Bare Substrate,6.857999781,7.25
Dichocoenia stokesii,7.010399776,1
Encrusting gorgonian,7.010399776,2
Gorgonians,6.781799783,4
Halimeda spp,6.55319979,4
MacroOtherFleshy,7.010399776,1
Millepora spp,6.857999781,1
Montastraea cavernosa,7.010399776,1
Other species,6.55319979,1
Palythoa spp,6.857999781,11.5
Peysonnellia,6.705599785,3
Porifera spp,6.857999781,4.25
Porites astreoides,7.010399776,1
Rhodophyta cru. spp,6.857999781,11
Siderastrea radians,7.010399776,1
Siderastrea siderea,6.857999781,4.5
Stephanocoenia intersepta,7.010399776,7
Turf Algae Free of Sediment,6.705599785,51
Turf Algae with Sediment,7.010399776,44
1388,10.14356438,6.058823529
Bare Substrate,10.13459968,9
Cyanophyta spp,10.13459968,2.5
Dichocoenia stokesii,10.21079967,1
Dictyota spp,10.13459968,40
Erythropodium caribaeorum,10.13459968,3.5
Gorgonians,10.13459968,1
Lobophora spp,10.13459968,3
Madracis decactis,10.21079967,1
Millepora spp,10.13459968,1.5
Other species,10.13459968,2
Palythoa spp,10.05839968,1
Peysonnellia,10.21079967,1
Porifera spp,10.13459968,2.5
Porites astreoides,10.21079967,1
Rhodophyta cru. spp,10.13459968,5.5
Siderastrea siderea,10.05839968,1
Turf Algae Free of Sediment,10.13459968,26.5
1389,10.21079967,5.605263158
Bare Substrate,10.21079967,25
Dictyota spp,10.21079967,12.5
Erythropodium caribaeorum,10.21079967,2.5
Gorgonians,10.21079967,3.5
Halimeda spp,10.21079967,1
Lobophora spp,10.21079967,1.5
MacroOtherCalcareous,10.21079967,1
Millepora spp,10.21079967,2
Other species,10.21079967,1
Peysonnellia,10.21079967,3.5
Porifera spp,10.21079967,4
Porites astreoides,10.21079967,1
Porites divaricata,10.21079967,1
Porites furcata,10.21079967,3
Rhodophyta cru. spp,10.21079967,3.5
Siderastrea siderea,10.21079967,1
Solenastrea bournoni,10.21079967,1
Stephanocoenia intersepta,10.21079967,1
Turf Algae Free of Sediment,10.21079967,37.5
1390,11.52048713,6.40625
Agaricia agaricites,11.58239963,1
Bare Substrate,11.50619963,28.5
Cyanophyta spp,11.58239963,1
Dictyota spp,11.50619963,7.5
Erythropodium caribaeorum,11.50619963,3.5
Gorgonians,11.50619963,5
Halimeda spp,11.50619963,15.5
MacroOtherCalcareous,11.58239963,1
MacroOtherFleshy,11.50619963,1.5
Millepora spp,11.50619963,1.5
Other species,11.58239963,1
Porifera spp,11.50619963,5.5
Rhodophyta cru. spp,11.50619963,7
Siderastrea siderea,11.50619963,2
Stephanocoenia intersepta,11.42999963,1
Turf Algae Free of Sediment,11.50619963,20
1391,13.21364402,7.592592593
Bare Substrate,12.91589959,9.75
Dictyota spp,12.91589959,27.25
Encrusting gorgonian,15.5447995,2
Erythropodium caribaeorum,15.6209995,2
Gorgonians,12.91589959,3
Halimeda spp,12.95399959,3.5
Lobophora spp,15.6209995,17.5
Millepora spp,10.21079967,1
Montastraea cavernosa,10.21079967,1
Peysonnellia,15.6971995,1
Porifera spp,15.6209995,5
Porites astreoides,15.6209995,1
Pseudodiploria strigosa,15.5447995,1
Rhodophyta cru. spp,12.91589959,8.75
Siderastrea siderea,12.91589959,6
Solenastrea bournoni,10.21079967,4
Stephanocoenia intersepta,12.87779959,2
Turf Algae Free of Sediment,12.91589959,12
Turf Algae with Sediment,10.21079967,25
1392,13.41119957,6.933333333
Bare Substrate,13.41119957,34.5
Dictyota spp,13.41119957,29
Encrusting gorgonian,13.41119957,1
Erythropodium caribaeorum,13.41119957,2
Gorgonians,13.41119957,1.5
Halimeda spp,13.41119957,6.5
Lobophora spp,13.41119957,10.5
Meandrina meandrites,13.41119957,1
Montastraea cavernosa,13.41119957,1
Peysonnellia,13.41119957,2
Porifera spp,13.41119957,4.5
Rhodophyta cru. spp,13.41119957,3.5
Siderastrea siderea,13.41119957,2
Stephanocoenia intersepta,13.41119957,1
Turf Algae Free of Sediment,13.41119957,4
1393,5.568949822,8.458333333
Bare Substrate,5.562599822,12.5
Dictyota spp,5.562599822,15
Gorgonians,5.562599822,1
Halimeda spp,5.63879982,1
MacroOtherFleshy,5.63879982,1
Millepora spp,5.486399824,1
Palythoa spp,5.562599822,4
Peysonnellia,5.562599822,9
Porifera spp,5.562599822,5.5
Rhodophyta cru. spp,5.562599822,22.5
Siderastrea siderea,5.562599822,1
Turf Algae Free of Sediment,5.562599822,28
1394,14.25447954,7.066666667
Bare Substrate,14.24939954,36.5
Cliona spp,14.17319955,3
Dictyota spp,14.24939954,8.5
Erythropodium caribaeorum,14.32559954,2
Gorgonians,14.32559954,2
Halimeda spp,14.24939954,21.5
Lobophora spp,14.24939954,3
MacroOtherCalcareous,14.32559954,1
Montastraea cavernosa,14.32559954,2
Peysonnellia,14.17319955,1
Porifera spp,14.24939954,12
Rhodophyta cru. spp,14.24939954,3.5
Siderastrea siderea,14.24939954,1.5
Stephanocoenia intersepta,14.17319955,1
Turf Algae Free of Sediment,14.24939954,7.5
1395,4.35543144,10.65789474
Bare Substrate,3.924299875,15.25
Dictyota spp,3.924299875,5.25
Gorgonians,5.562599822,3.5
Halimeda spp,3.962399874,5
MacroOtherCalcareous,2.285999927,2
MacroOtherFleshy,3.924299875,19.75
Millepora spp,5.562599822,2.5
Other species,5.562599822,2
Palythoa spp,5.562599822,3.5
Peysonnellia,5.486399824,1
Porifera spp,5.562599822,6.5
Rhodophyta cru. spp,5.562599822,3
Turf Algae Free of Sediment,3.924299875,20.5
Turf Algae with Sediment,2.285999927,47
1396,9.753599688,7.846153846
Agaricia agaricites,9.753599688,1
Bare Substrate,9.753599688,33.5
Dictyota spp,9.753599688,36
Gorgonians,9.753599688,1.5
Halimeda spp,9.753599688,2.5
Millepora spp,9.753599688,1
Palythoa spp,9.753599688,1
Peysonnellia,9.753599688,1
Porifera spp,9.753599688,6
Rhodophyta cru. spp,9.753599688,4
Siderastrea siderea,9.753599688,1
Stephanocoenia intersepta,9.753599688,1
Turf Algae Free of Sediment,9.753599688,12.5
1397,9.27295355,7.884615385
Bare Substrate,9.296399703,49.5
Cyanophyta spp,9.296399703,2
Dictyota spp,9.296399703,3
Erythropodium caribaeorum,9.296399703,1.5
Gorgonians,9.143999707,2
Halimeda spp,9.296399703,3
Palythoa spp,9.448799698,1
Peysonnellia,9.143999707,1
Porifera spp,9.296399703,10.5
Porites astreoides,9.143999707,1
Rhodophyta cru. spp,9.296399703,7.5
Siderastrea siderea,9.296399703,1.5
Turf Algae Free of Sediment,9.296399703,19
1398,10.59542823,9.666666667
Bare Substrate,8.83919972,48.25
Cyanophyta spp,12.95399959,3.5
Dictyota spp,12.95399959,8
Erythropodium caribaeorum,12.95399959,1
Gorgonians,12.95399959,2.5
Halimeda spp,12.95399959,13
Lobophora spp,12.95399959,1.5
MacroOtherCalcareous,8.76299972,1.5
MacroOtherFleshy,4.724399849,7
Magnoliophyta spp,4.724399849,20
Millepora spp,13.10639958,1
Other species,12.95399959,1.5
Peysonnellia,12.80159959,4
Porifera spp,8.83919972,2.25
Rhodophyta cru. spp,12.95399959,8.5
Siderastrea siderea,12.95399959,1
Turf Algae Free of Sediment,12.95399959,22.5
Turf Algae with Sediment,4.724399849,4
1401,10.11282825,7.285714286
Bare Substrate,8.72489972,14
Cyanophyta spp,12.72539959,5.5
Dictyota spp,8.72489972,10
Encrusting gorgonian,8.610599725,3
Erythropodium caribaeorum,12.72539959,4
Eusmilia fastigiata,12.4967996,1
Gorgonians,8.72489972,3.5
Halimeda spp,8.72489972,7.75
Lobophora spp,12.72539959,3
Millepora spp,12.4967996,1
Montastraea cavernosa,12.4967996,1
Other species,12.72539959,3
Peysonnellia,12.72539959,3
Porifera spp,12.72539959,8
Porites astreoides,8.72489972,1.5
Rhodophyta cru. spp,12.72539959,11.5
Siderastrea siderea,8.72489972,2.5
Stephanocoenia intersepta,12.4967996,1
Turf Algae Free of Sediment,8.72489972,14.75
Turf Algae with Sediment,4.724399849,48
1404,11.27759964,7.692307692
Bare Substrate,11.27759964,16
Dichocoenia stokesii,11.27759964,1
Dictyota spp,11.27759964,17
Encrusting gorgonian,11.27759964,2
Gorgonians,11.27759964,2
Halimeda spp,11.27759964,8
Montastraea cavernosa,11.27759964,1
Palythoa spp,11.27759964,1
Porifera spp,11.27759964,6
Porites astreoides,11.27759964,2
Rhodophyta cru. spp,11.27759964,3
Siderastrea siderea,11.27759964,6
Turf Algae with Sediment,11.27759964,35
1405,5.791199815,10
Bare Substrate,5.791199815,10
Dictyota spp,5.791199815,13
Gorgonians,5.791199815,9
Halimeda spp,5.791199815,1
Millepora spp,5.791199815,1
Montastraea cavernosa,5.791199815,1
Porifera spp,5.791199815,1
Porites astreoides,5.791199815,2
Siderastrea siderea,5.791199815,1
Turf Algae with Sediment,5.791199815,61
1409,4.571999854,10
Bare Substrate,4.571999854,17
Cyanophyta spp,4.571999854,2
Gorgonians,4.571999854,3
Halimeda spp,4.571999854,11
MacroOtherCalcareous,4.571999854,4
MacroOtherFleshy,4.571999854,1
Palythoa spp,4.571999854,29
Porifera spp,4.571999854,14
Siderastrea radians,4.571999854,1
Turf Algae with Sediment,4.571999854,18
1410,5.486399824,8.333333333
Bare Substrate,5.486399824,9
Dictyota spp,5.486399824,3
Eusmilia fastigiata,5.486399824,1
Gorgonians,5.486399824,8
Halimeda spp,5.486399824,12
MacroOtherFleshy,5.486399824,8
Other species,5.486399824,1
Palythoa spp,5.486399824,14
Porifera spp,5.486399824,25
Rhodophyta cru. spp,5.486399824,1
Siderastrea siderea,5.486399824,1
Turf Algae with Sediment,5.486399824,17
1412,7.162799771,6.25
Bare Substrate,7.162799771,11
Dictyota spp,7.162799771,6
Gorgonians,7.162799771,6
Halimeda spp,7.162799771,6
MacroOtherCalcareous,7.162799771,1
MacroOtherFleshy,7.162799771,2
Montastraea cavernosa,7.162799771,1
Orbicella faveolata,7.162799771,14
Palythoa spp,7.162799771,2
Porifera spp,7.162799771,3
Pseudodiploria strigosa,7.162799771,4
Rhodophyta cru. spp,7.162799771,18
Siderastrea radians,7.162799771,1
Siderastrea siderea,7.162799771,2
Turf Algae Free of Sediment,7.162799771,9
Turf Algae with Sediment,7.162799771,14
1413,2.057399934,14.28571429
Bare Substrate,2.057399934,45
Dictyota spp,2.057399934,5
Halimeda spp,2.057399934,2.5
MacroOtherFleshy,2.057399934,37
Peysonnellia,2.057399934,1
Rhodophyta cru. spp,2.057399934,3.5
Turf Algae Free of Sediment,2.057399934,6
1414,8.388095732,8
Agaricia agaricites,8.534399727,1
Bare Substrate,8.381999732,27.5
Dictyota spp,8.381999732,22
Erythropodium caribaeorum,8.381999732,1
Gorgonians,8.381999732,2
Halimeda spp,8.381999732,2
Millepora spp,8.534399727,2
Montastraea cavernosa,8.229599737,1
Orbicella faveolata,8.229599737,16
Palythoa spp,8.534399727,5
Porifera spp,8.381999732,2.5
Porites porites,8.534399727,2
Rhodophyta cru. spp,8.381999732,3
Siderastrea siderea,8.381999732,2.5
Stephanocoenia intersepta,8.229599737,1
Turf Algae Free of Sediment,8.381999732,23.5
1415,6.280149799,8.520833333
Bare Substrate,6.172199803,14.75
Dictyota spp,6.172199803,4
Diploria labyrinthiformis,7.467599761,2
Gorgonians,6.172199803,3.25
Halimeda spp,6.172199803,3.5
MacroOtherFleshy,7.467599761,2
Millepora spp,7.467599761,1.5
Palythoa spp,6.172199803,8
Peysonnellia,7.467599761,2
Porifera spp,6.172199803,4.5
Porites astreoides,4.876799844,1
Rhodophyta cru. spp,6.172199803,1.5
Siderastrea siderea,6.172199803,3.5
Turf Algae Free of Sediment,6.172199803,39.5
Turf Algae with Sediment,4.876799844,31
1416,5.791199815,10
Bare Substrate,5.791199815,9
Dictyota spp,5.791199815,18
Gorgonians,5.791199815,10
Halimeda spp,5.791199815,4
Millepora spp,5.791199815,1
Porites porites,5.791199815,1
Rhodophyta cru. spp,5.791199815,2
Siderastrea siderea,5.791199815,1
Stephanocoenia intersepta,5.791199815,1
Turf Algae with Sediment,5.791199815,53
1418,8.381999732,5.763157895
Bare Substrate,8.381999732,38
Cliona spp,8.381999732,5
Dichocoenia stokesii,8.381999732,1
Dictyota spp,8.381999732,5.5
