,,x_ses_2,x_ses,X,Season,Trend,random,y,Case,Value
53,11,5.50,0.883,17.800,-0.867,0.890,0.159,0.181,Region,Region_1
54,11,5.50,0.900,17.900,-0.813,0.895,0.103,0.185,Region,Region_1
55,11,5.50,0.917,18.000,-0.751,0.900,0.175,0.324,Region,Region_1
56,12,6.00,0.933,18.100,-0.681,0.905,0.152,0.376,Region,Region_1
57,12,6.00,0.950,18.200,-0.605,0.910,0.166,0.471,Region,Region_1
58,12,6.00,0.967,18.300,-0.522,0.915,0.059,0.451,Region,Region_1
59,12,6.00,0.983,18.400,-0.435,0.920,0.227,0.713,Region,Region_1
60,12,6.00,1.000,18.500,-0.342,0.925,0.158,0.740,Region,Region_1
61,12,6.00,1.017,18.600,-0.247,0.930,0.208,0.891,Region,Region_1
62,1,0.50,1.033,18.700,-0.149,0.935,0.204,0.990,Region,Region_1
63,12,6.00,1.050,18.800,-0.050,0.940,0.126,1.017,Region,Region_1
1,1,0.50,0.017,0.100,0.100,0.005,0.154,0.259,Region,Region_2
2,1,0.50,0.033,0.200,0.199,0.010,0.152,0.361,Region,Region_2
3,1,0.50,0.050,0.300,0.296,0.015,0.088,0.399,Region,Region_2
4,1,0.50,0.067,0.400,0.389,0.020,0.234,0.643,Region,Region_2
5,1,0.50,0.083,0.500,0.479,0.025,0.037,0.541,Region,Region_2
6,2,1.00,0.100,0.600,0.565,0.030,0.223,0.817,Region,Region_2
7,2,1.00,0.117,0.700,0.644,0.035,0.051,0.730,Region,Region_2
8,2,1.00,0.133,0.800,0.717,0.040,0.038,0.796,Region,Region_2
9,2,1.00,0.150,0.900,0.783,0.045,0.093,0.921,Region,Region_2
10,2,1.00,0.167,1.000,0.841,0.050,0.002,0.893,Region,Region_2
11,3,1.50,0.183,1.100,0.891,0.055,0.088,1.034,Region,Region_2
12,3,1.50,0.200,1.200,0.932,0.060,0.138,1.130,Region,Region_2
13,3,1.50,0.217,1.300,0.964,0.065,0.049,1.078,Region,Region_2
14,3,1.50,0.233,1.400,0.985,0.070,0.090,1.146,Region,Region_2
15,3,1.50,0.250,1.500,0.997,0.075,0.076,1.148,Region,Region_2
16,4,2.00,0.267,1.600,1.000,0.080,0.090,1.169,Region,Region_2
17,4,2.00,0.283,1.700,0.992,0.085,0.210,1.287,Region,Region_2
18,4,2.00,0.300,1.800,0.974,0.090,0.112,1.176,Region,Region_2
19,4,2.00,0.317,1.900,0.946,0.095,0.140,1.181,Region,Region_2
20,4,2.00,0.333,2.000,0.909,0.100,0.127,1.137,Region,Region_2
21,5,2.50,0.350,2.100,0.863,0.105,0.082,1.050,Region,Region_2
22,5,2.50,0.367,2.200,0.808,0.110,0.167,1.086,Region,Region_2
23,5,2.50,0.383,2.300,0.746,0.115,0.238,1.099,Region,Region_2
24,5,2.50,0.400,2.400,0.675,0.120,0.021,0.817,Region,Region_2
25,5,2.50,0.417,2.500,0.598,0.125,0.060,0.784,Region,Region_2
26,6,3.00,0.433,2.600,0.516,0.130,0.214,0.860,Region,Region_2
27,6,3.00,0.450,2.700,0.427,0.135,0.173,0.735,Region,Region_2
28,6,3.00,0.467,2.800,0.335,0.140,0.133,0.608,Region,Region_2
29,6,3.00,0.483,2.900,0.239,0.145,0.114,0.499,Region,Region_2
30,6,3.00,0.500,3.000,0.141,0.150,0.066,0.358,Region,Region_2
31,7,3.50,0.517,3.100,0.042,0.155,0.248,0.445,Region,Region_2
32,7,3.50,0.533,3.200,-0.058,0.160,0.156,0.258,Region,Region_2
33,7,3.50,0.550,3.300,-0.158,0.165,0.083,0.091,Region,Region_2
34,7,3.50,0.567,3.400,-0.256,0.170,0.224,0.138,Region,Region_2
35,7,3.50,0.583,3.500,-0.351,0.175,0.034,-0.142,Region,Region_2
36,8,4.00,0.600,3.600,-0.443,0.180,0.069,-0.193,Region,Region_2
37,8,4.00,0.617,3.700,-0.530,0.185,0.195,-0.150,Region,Region_2
38,8,4.00,0.633,3.800,-0.612,0.190,0.005,-0.417,Region,Region_2
39,8,4.00,0.650,3.900,-0.688,0.195,0.171,-0.322,Region,Region_2
40,8,4.00,0.667,4.000,-0.757,0.200,0.030,-0.527,Region,Region_2
41,9,4.50,0.683,4.100,-0.818,0.205,0.032,-0.581,Region,Region_2
42,9,4.50,0.700,4.200,-0.872,0.210,0.060,-0.601,Region,Region_2
43,9,4.50,0.717,4.300,-0.916,0.215,0.235,-0.466,Region,Region_2
44,9,4.50,0.733,4.400,-0.952,0.220,0.011,-0.720,Region,Region_2
45,9,4.50,0.750,4.500,-0.978,0.225,0.217,-0.536,Region,Region_2
46,10,5.00,0.767,4.600,-0.994,0.230,0.079,-0.685,Region,Region_2
47,10,5.00,0.783,4.700,-1.000,0.235,0.228,-0.537,Region,Region_2
48,10,5.00,0.800,4.800,-0.996,0.240,0.133,-0.623,Region,Region_2
49,10,5.00,0.817,4.900,-0.982,0.245,0.005,-0.732,Region,Region_2
50,10,5.00,0.833,5.000,-0.959,0.250,0.008,-0.701,Region,Region_2
51,11,5.50,0.850,5.100,-0.926,0.255,0.051,-0.619,Region,Region_2
52,11,5.50,0.867,5.200,-0.883,0.260,0.136,-0.487,Region,Region_2
53,11,5.50,0.883,5.300,-0.832,0.265,0.233,-0.335,Region,Region_2
54,11,5.50,0.900,5.400,-0.773,0.270,0.097,-0.405,Region,Region_2
55,11,5.50,0.917,5.500,-0.706,0.275,0.162,-0.268,Region,Region_2
56,12,6.00,0.933,5.600,-0.631,0.280,0.021,-0.330,Region,Region_2
57,12,6.00,0.950,5.700,-0.551,0.285,0.119,-0.147,Region,Region_2
58,12,6.00,0.967,5.800,-0.465,0.290,0.226,0.051,Region,Region_2
59,12,6.00,0.983,5.900,-0.374,0.295,0.191,0.112,Region,Region_2
60,12,6.00,1.000,6.000,-0.279,0.300,0.060,0.081,Region,Region_2
61,12,6.00,1.017,6.100,-0.182,0.305,0.226,0.349,Region,Region_2
62,1,0.50,1.033,6.200,-0.083,0.310,0.161,0.388,Region,Region_2
1,1,0.50,0.017,6.300,0.017,0.315,0.035,0.367,Region,Region_2
2,1,0.50,0.033,6.400,0.117,0.320,0.151,0.587,Region,Region_2
3,1,0.50,0.050,6.500,0.215,0.325,0.152,0.692,Region,Region_2
4,1,0.50,0.067,6.600,0.312,0.330,0.070,0.712,Region,Region_2
5,1,0.50,0.083,6.700,0.405,0.335,0.033,0.773,Region,Region_2
6,2,1.00,0.100,6.800,0.494,0.340,0.165,0.999,Region,Region_2
7,2,1.00,0.117,6.900,0.578,0.345,0.144,1.067,Region,Region_2
8,2,1.00,0.133,7.000,0.657,0.350,0.053,1.060,Region,Region_2
9,2,1.00,0.150,7.100,0.729,0.355,0.142,1.226,Region,Region_2
10,2,1.00,0.167,7.200,0.794,0.360,0.001,1.155,Region,Region_2
11,3,1.50,0.183,7.300,0.850,0.365,0.104,1.319,Region,Region_2
12,3,1.50,0.200,7.400,0.899,0.370,0.117,1.386,Region,Region_2
13,3,1.50,0.217,7.500,0.938,0.375,0.020,1.333,Region,Region_2
14,3,1.50,0.233,7.600,0.968,0.380,0.216,1.563,Region,Region_2
15,3,1.50,0.250,7.700,0.988,0.385,0.092,1.466,Region,Region_2
16,4,2.00,0.267,7.800,0.999,0.390,0.097,1.485,Region,Region_2
17,4,2.00,0.283,7.900,0.999,0.395,0.146,1.540,Region,Region_2
18,4,2.00,0.300,8.000,0.989,0.400,0.245,1.635,Region,Region_2
19,4,2.00,0.317,8.100,0.970,0.405,0.139,1.514,Region,Region_2
20,4,2.00,0.333,8.200,0.941,0.410,0.095,1.445,Region,Region_2
21,5,2.50,0.350,8.300,0.902,0.415,0.055,1.372,Region,Region_2
22,5,2.50,0.367,8.400,0.855,0.420,0.224,1.498,Region,Region_2
23,5,2.50,0.383,8.500,0.798,0.425,0.129,1.352,Region,Region_2
24,5,2.50,0.400,8.600,0.734,0.430,0.196,1.361,Region,Region_2
25,5,2.50,0.417,8.700,0.663,0.435,0.206,1.303,Region,Region_2
26,6,3.00,0.433,8.800,0.585,0.440,0.152,1.177,Region,Region_2
27,6,3.00,0.450,8.900,0.501,0.445,0.218,1.165,Region,Region_2
28,6,3.00,0.467,9.000,0.412,0.450,0.222,1.084,Region,Region_2
29,6,3.00,0.483,9.100,0.319,0.455,0.020,0.794,Region,Region_2
30,6,3.00,0.500,9.200,0.223,0.460,0.219,0.902,Region,Region_2
31,7,3.50,0.517,9.300,0.124,0.465,0.097,0.686,Region,Region_2
32,7,3.50,0.533,9.400,0.025,0.470,0.199,0.693,Region,Region_2
33,7,3.50,0.550,9.500,-0.075,0.475,0.078,0.478,Region,Region_2
34,7,3.50,0.567,9.600,-0.174,0.480,0.061,0.367,Region,Region_2
35,7,3.50,0.583,9.700,-0.272,0.485,0.123,0.337,Region,Region_2
36,8,4.00,0.600,9.800,-0.366,0.490,0.207,0.331,Region,Region_2
37,8,4.00,0.617,9.900,-0.458,0.495,0.014,0.052,Region,Region_2
38,8,4.00,0.633,10.000,-0.544,0.500,0.123,0.079,Region,Region_2
39,8,4.00,0.650,10.100,-0.625,0.505,0.017,-0.103,Region,Region_2
40,8,4.00,0.667,10.200,-0.700,0.510,0.170,-0.020,Region,Region_2
41,9,4.50,0.683,10.300,-0.768,0.515,0.212,-0.041,Region,Region_2
42,9,4.50,0.700,10.400,-0.828,0.520,0.157,-0.151,Region,Region_2
43,9,4.50,0.717,10.500,-0.880,0.525,0.234,-0.121,Region,Region_2
44,9,4.50,0.733,10.600,-0.923,0.530,0.044,-0.348,Region,Region_2
45,9,4.50,0.750,10.700,-0.957,0.535,0.223,-0.199,Region,Region_2
46,10,5.00,0.767,10.800,-0.981,0.540,0.235,-0.206,Region,Region_2
47,10,5.00,0.783,10.900,-0.995,0.545,0.078,-0.372,Region,Region_2
48,10,5.00,0.800,11.000,-1.000,0.550,0.000,-0.450,Region,Region_2
49,10,5.00,0.817,11.100,-0.995,0.555,0.121,-0.318,Region,Region_2
50,10,5.00,0.833,11.200,-0.979,0.560,0.016,-0.403,Region,Region_2
51,11,5.50,0.850,11.300,-0.954,0.565,0.119,-0.270,Region,Region_2
52,11,5.50,0.867,11.400,-0.919,0.570,0.059,-0.290,Region,Region_2
53,11,5.50,0.883,11.500,-0.875,0.575,0.051,-0.249,Region,Region_2
54,11,5.50,0.900,11.600,-0.823,0.580,0.112,-0.131,Region,Region_2
55,11,5.50,0.917,11.700,-0.762,0.585,0.084,-0.093,Region,Region_2
56,12,6.00,0.933,11.800,-0.694,0.590,0.194,0.090,Region,Region_2
57,12,6.00,0.950,11.900,-0.618,0.595,0.034,0.011,Region,Region_2
58,12,6.00,0.967,12.000,-0.537,0.600,0.090,0.153,Region,Region_2
59,12,6.00,0.983,12.100,-0.450,0.605,0.229,0.384,Region,Region_2
60,12,6.00,1.000,12.200,-0.358,0.610,0.083,0.335,Region,Region_2
61,12,6.00,1.017,12.300,-0.263,0.615,0.184,0.536,Region,Region_2
62,1,0.50,1.033,12.400,-0.166,0.620,0.237,0.691,Region,Region_2
63,12,6.00,1.050,12.500,-0.066,0.625,0.114,0.673,Region,Region_2
1,1,0.50,0.017,12.600,0.034,0.630,0.157,0.821,Region,Region_2
2,1,0.50,0.033,12.700,0.133,0.635,0.037,0.806,Region,Region_2
3,1,0.50,0.050,12.800,0.232,0.640,0.248,1.119,Region,Region_2
4,1,0.50,0.067,12.900,0.327,0.645,0.003,0.975,Region,Region_2
5,1,0.50,0.083,13.000,0.420,0.650,0.154,1.224,Region,Region_2
6,2,1.00,0.100,13.100,0.509,0.655,0.022,1.186,Region,Region_2
7,2,1.00,0.117,13.200,0.592,0.660,0.157,1.409,Region,Region_2
8,2,1.00,0.133,13.300,0.670,0.665,0.035,1.370,Region,Region_2
9,2,1.00,0.150,13.400,0.740,0.670,0.043,1.454,Region,Region_2
10,2,1.00,0.167,13.500,0.804,0.675,0.021,1.500,Region,Region_2
11,3,1.50,0.183,13.600,0.859,0.680,0.130,1.669,Region,Region_2
12,3,1.50,0.200,13.700,0.906,0.685,0.122,1.713,Region,Region_2
13,3,1.50,0.217,13.800,0.944,0.690,0.073,1.706,Region,Region_2
14,3,1.50,0.233,13.900,0.972,0.695,0.179,1.846,Region,Region_2
15,3,1.50,0.250,14.000,0.991,0.700,0.123,1.813,Region,Region_2
16,4,2.00,0.267,14.100,0.999,0.705,0.142,1.846,Region,Region_2
17,4,2.00,0.283,14.200,0.998,0.710,0.152,1.860,Region,Region_2
18,4,2.00,0.300,14.300,0.987,0.715,0.033,1.734,Region,Region_2
19,4,2.00,0.317,14.400,0.966,0.720,0.108,1.794,Region,Region_2
20,4,2.00,0.333,14.500,0.935,0.725,0.041,1.701,Region,Region_2
21,5,2.50,0.350,14.600,0.895,0.730,0.033,1.658,Region,Region_2
22,5,2.50,0.367,14.700,0.846,0.735,0.104,1.685,Region,Region_2
23,5,2.50,0.383,14.800,0.788,0.740,0.107,1.635,Region,Region_2
24,5,2.50,0.400,14.900,0.723,0.745,0.075,1.543,Region,Region_2
25,5,2.50,0.417,15.000,0.650,0.750,0.226,1.627,Region,Region_2
26,6,3.00,0.433,15.100,0.571,0.755,0.123,1.450,Region,Region_2
27,6,3.00,0.450,15.200,0.486,0.760,0.035,1.282,Region,Region_2
28,6,3.00,0.467,15.300,0.397,0.765,0.054,1.216,Region,Region_2
29,6,3.00,0.483,15.400,0.303,0.770,0.146,1.219,Region,Region_2
30,6,3.00,0.500,15.500,0.206,0.775,0.146,1.128,Region,Region_2
31,7,3.50,0.517,15.600,0.108,0.780,0.204,1.091,Region,Region_2
32,7,3.50,0.533,15.700,0.008,0.785,0.062,0.855,Region,Region_2
33,7,3.50,0.550,15.800,-0.092,0.790,0.072,0.770,Region,Region_2
34,7,3.50,0.567,15.900,-0.191,0.795,0.130,0.734,Region,Region_2
35,7,3.50,0.583,16.000,-0.288,0.800,0.101,0.613,Region,Region_2
36,8,4.00,0.600,16.100,-0.382,0.805,0.204,0.627,Region,Region_2
37,8,4.00,0.617,16.200,-0.472,0.810,0.102,0.439,Region,Region_2
38,8,4.00,0.633,16.300,-0.558,0.815,0.240,0.497,Region,Region_2
39,8,4.00,0.650,16.400,-0.638,0.820,0.028,0.210,Region,Region_2
40,8,4.00,0.667,16.500,-0.712,0.825,0.079,0.192,Region,Region_2
41,9,4.50,0.683,16.600,-0.778,0.830,0.032,0.084,Region,Region_2
42,9,4.50,0.700,16.700,-0.837,0.835,0.106,0.104,Region,Region_2
43,9,4.50,0.717,16.800,-0.888,0.840,0.084,0.036,Region,Region_2
44,9,4.50,0.733,16.900,-0.929,0.845,0.011,-0.074,Region,Region_2
45,9,4.50,0.750,17.000,-0.961,0.850,0.094,-0.018,Region,Region_2
46,10,5.00,0.767,17.100,-0.984,0.855,0.243,0.114,Region,Region_2
47,10,5.00,0.783,17.200,-0.997,0.860,0.065,-0.072,Region,Region_2
48,10,5.00,0.800,17.300,-1.000,0.865,0.222,0.087,Region,Region_2
49,10,5.00,0.817,17.400,-0.993,0.870,0.197,0.074,Region,Region_2
50,10,5.00,0.833,17.500,-0.976,0.875,0.136,0.036,Region,Region_2
51,11,5.50,0.850,17.600,-0.949,0.880,0.006,-0.063,Region,Region_2
52,11,5.50,0.867,17.700,-0.913,0.885,0.017,-0.011,Region,Region_2
53,11,5.50,0.883,17.800,-0.867,0.890,0.193,0.216,Region,Region_2
54,11,5.50,0.900,17.900,-0.813,0.895,0.134,0.216,Region,Region_2
55,11,5.50,0.917,18.000,-0.751,0.900,0.175,0.324,Region,Region_2
56,12,6.00,0.933,18.100,-0.681,0.905,0.008,0.232,Region,Region_2
57,12,6.00,0.950,18.200,-0.605,0.910,0.093,0.398,Region,Region_2
58,12,6.00,0.967,18.300,-0.522,0.915,0.227,0.619,Region,Region_2
59,12,6.00,0.983,18.400,-0.435,0.920,0.196,0.681,Region,Region_2
60,12,6.00,1.000,18.500,-0.342,0.925,0.168,0.751,Region,Region_2
61,12,6.00,1.017,18.600,-0.247,0.930,0.149,0.832,Region,Region_2
62,1,0.50,1.033,18.700,-0.149,0.935,0.096,0.882,Region,Region_2
63,12,6.00,1.050,18.800,-0.050,0.940,0.245,1.135,Region,Region_2
1,1,0.50,0.017,0.100,0.100,0.005,0.020,0.125,Region,Region_3
2,1,0.50,0.033,0.200,0.199,0.010,0.156,0.364,Region,Region_3
3,1,0.50,0.050,0.300,0.296,0.015,0.157,0.467,Region,Region_3
4,1,0.50,0.067,0.400,0.389,0.020,0.217,0.626,Region,Region_3
5,1,0.50,0.083,0.500,0.479,0.025,0.192,0.697,Region,Region_3
6,2,1.00,0.100,0.600,0.565,0.030,0.147,0.742,Region,Region_3
7,2,1.00,0.117,0.700,0.644,0.035,0.188,0.867,Region,Region_3
8,2,1.00,0.133,0.800,0.717,0.040,0.116,0.874,Region,Region_3
9,2,1.00,0.150,0.900,0.783,0.045,0.160,0.989,Region,Region_3
10,2,1.00,0.167,1.000,0.841,0.050,0.174,1.066,Region,Region_3
11,3,1.50,0.183,1.100,0.891,0.055,0.047,0.993,Region,Region_3
12,3,1.50,0.200,1.200,0.932,0.060,0.006,0.998,Region,Region_3
13,3,1.50,0.217,1.300,0.964,0.065,0.077,1.106,Region,Region_3
14,3,1.50,0.233,1.400,0.985,0.070,0.089,1.145,Region,Region_3
15,3,1.50,0.250,1.500,0.997,0.075,0.116,1.189,Region,Region_3
16,4,2.00,0.267,1.600,1.000,0.080,0.173,1.253,Region,Region_3
17,4,2.00,0.283,1.700,0.992,0.085,0.106,1.183,Region,Region_3
18,4,2.00,0.300,1.800,0.974,0.090,0.090,1.154,Region,Region_3
19,4,2.00,0.317,1.900,0.946,0.095,0.086,1.127,Region,Region_3
20,4,2.00,0.333,2.000,0.909,0.100,0.096,1.106,Region,Region_3
21,5,2.50,0.350,2.100,0.863,0.105,0.017,0.985,Region,Region_3
22,5,2.50,0.367,2.200,0.808,0.110,0.027,0.946,Region,Region_3
23,5,2.50,0.383,2.300,0.746,0.115,0.091,0.951,Region,Region_3
24,5,2.50,0.400,2.400,0.675,0.120,0.237,1.033,Region,Region_3
25,5,2.50,0.417,2.500,0.598,0.125,0.152,0.876,Region,Region_3
26,6,3.00,0.433,2.600,0.516,0.130,0.054,0.699,Region,Region_3
27,6,3.00,0.450,2.700,0.427,0.135,0.111,0.673,Region,Region_3
28,6,3.00,0.467,2.800,0.335,0.140,0.046,0.521,Region,Region_3
29,6,3.00,0.483,2.900,0.239,0.145,0.249,0.633,Region,Region_3
30,6,3.00,0.500,3.000,0.141,0.150,0.034,0.325,Region,Region_3
31,7,3.50,0.517,3.100,0.042,0.155,0.183,0.380,Region,Region_3
32,7,3.50,0.533,3.200,-0.058,0.160,0.095,0.197,Region,Region_3
33,7,3.50,0.550,3.300,-0.158,0.165,0.041,0.049,Region,Region_3
34,7,3.50,0.567,3.400,-0.256,0.170,0.223,0.138,Region,Region_3
35,7,3.50,0.583,3.500,-0.351,0.175,0.048,-0.128,Region,Region_3
36,8,4.00,0.600,3.600,-0.443,0.180,0.103,-0.159,Region,Region_3
37,8,4.00,0.617,3.700,-0.530,0.185,0.097,-0.248,Region,Region_3
38,8,4.00,0.633,3.800,-0.612,0.190,0.183,-0.239,Region,Region_3
39,8,4.00,0.650,3.900,-0.688,0.195,0.172,-0.321,Region,Region_3
40,8,4.00,0.667,4.000,-0.757,0.200,0.221,-0.336,Region,Region_3
41,9,4.50,0.683,4.100,-0.818,0.205,0.215,-0.398,Region,Region_3
42,9,4.50,0.700,4.200,-0.872,0.210,0.170,-0.492,Region,Region_3
43,9,4.50,0.717,4.300,-0.916,0.215,0.039,-0.662,Region,Region_3
44,9,4.50,0.733,4.400,-0.952,0.220,0.223,-0.509,Region,Region_3
45,9,4.50,0.750,4.500,-0.978,0.225,0.008,-0.745,Region,Region_3
46,10,5.00,0.767,4.600,-0.994,0.230,0.141,-0.623,Region,Region_3
47,10,5.00,0.783,4.700,-1.000,0.235,0.047,-0.718,Region,Region_3
48,10,5.00,0.800,4.800,-0.996,0.240,0.147,-0.609,Region,Region_3
49,10,5.00,0.817,4.900,-0.982,0.245,0.130,-0.608,Region,Region_3
50,10,5.00,0.833,5.000,-0.959,0.250,0.177,-0.532,Region,Region_3
51,11,5.50,0.850,5.100,-0.926,0.255,0.117,-0.554,Region,Region_3
52,11,5.50,0.867,5.200,-0.883,0.260,0.120,-0.503,Region,Region_3
53,11,5.50,0.883,5.300,-0.832,0.265,0.203,-0.364,Region,Region_3
54,11,5.50,0.900,5.400,-0.773,0.270,0.222,-0.280,Region,Region_3
55,11,5.50,0.917,5.500,-0.706,0.275,0.234,-0.196,Region,Region_3
56,12,6.00,0.933,5.600,-0.631,0.280,0.078,-0.273,Region,Region_3
57,12,6.00,0.950,5.700,-0.551,0.285,0.049,-0.217,Region,Region_3
58,12,6.00,0.967,5.800,-0.465,0.290,0.121,-0.054,Region,Region_3
59,12,6.00,0.983,5.900,-0.374,0.295,0.132,0.053,Region,Region_3
60,12,6.00,1.000,6.000,-0.279,0.300,0.051,0.071,Region,Region_3
61,12,6.00,1.017,6.100,-0.182,0.305,0.125,0.248,Region,Region_3
62,1,0.50,1.033,6.200,-0.083,0.310,0.159,0.386,Region,Region_3
1,1,0.50,0.017,6.300,0.017,0.315,0.134,0.465,Region,Region_3
2,1,0.50,0.033,6.400,0.117,0.320,0.168,0.605,Region,Region_3
3,1,0.50,0.050,6.500,0.215,0.325,0.047,0.587,Region,Region_3
4,1,0.50,0.067,6.600,0.312,0.330,0.243,0.884,Region,Region_3
5,1,0.50,0.083,6.700,0.405,0.335,0.226,0.965,Region,Region_3
6,2,1.00,0.100,6.800,0.494,0.340,0.126,0.960,Region,Region_3
7,2,1.00,0.117,6.900,0.578,0.345,0.096,1.019,Region,Region_3
8,2,1.00,0.133,7.000,0.657,0.350,0.241,1.248,Region,Region_3
9,2,1.00,0.150,7.100,0.729,0.355,0.208,1.292,Region,Region_3
10,2,1.00,0.167,7.200,0.794,0.360,0.117,1.270,Region,Region_3
11,3,1.50,0.183,7.300,0.850,0.365,0.195,1.410,Region,Region_3
12,3,1.50,0.200,7.400,0.899,0.370,0.008,1.276,Region,Region_3
13,3,1.50,0.217,7.500,0.938,0.375,0.112,1.425,Region,Region_3
14,3,1.50,0.233,7.600,0.968,0.380,0.014,1.362,Region,Region_3
15,3,1.50,0.250,7.700,0.988,0.385,0.156,1.530,Region,Region_3
16,4,2.00,0.267,7.800,0.999,0.390,0.233,1.621,Region,Region_3
17,4,2.00,0.283,7.900,0.999,0.395,0.042,1.436,Region,Region_3
18,4,2.00,0.300,8.000,0.989,0.400,0.171,1.560,Region,Region_3
19,4,2.00,0.317,8.100,0.970,0.405,0.081,1.456,Region,Region_3
20,4,2.00,0.333,8.200,0.941,0.410,0.157,1.507,Region,Region_3
21,5,2.50,0.350,8.300,0.902,0.415,0.241,1.558,Region,Region_3
22,5,2.50,0.367,8.400,0.855,0.420,0.228,1.503,Region,Region_3
23,5,2.50,0.383,8.500,0.798,0.425,0.051,1.275,Region,Region_3
24,5,2.50,0.400,8.600,0.734,0.430,0.213,1.377,Region,Region_3
25,5,2.50,0.417,8.700,0.663,0.435,0.047,1.145,Region,Region_3
26,6,3.00,0.433,8.800,0.585,0.440,0.140,1.165,Region,Region_3
27,6,3.00,0.450,8.900,0.501,0.445,0.126,1.072,Region,Region_3
28,6,3.00,0.467,9.000,0.412,0.450,0.214,1.076,Region,Region_3
29,6,3.00,0.483,9.100,0.319,0.455,0.005,0.779,Region,Region_3
30,6,3.00,0.500,9.200,0.223,0.460,0.209,0.892,Region,Region_3
31,7,3.50,0.517,9.300,0.124,0.465,0.169,0.758,Region,Region_3
32,7,3.50,0.533,9.400,0.025,0.470,0.223,0.718,Region,Region_3
33,7,3.50,0.550,9.500,-0.075,0.475,0.056,0.456,Region,Region_3
34,7,3.50,0.567,9.600,-0.174,0.480,0.158,0.464,Region,Region_3
35,7,3.50,0.583,9.700,-0.272,0.485,0.218,0.431,Region,Region_3
36,8,4.00,0.600,9.800,-0.366,0.490,0.064,0.188,Region,Region_3
37,8,4.00,0.617,9.900,-0.458,0.495,0.117,0.155,Region,Region_3
38,8,4.00,0.633,10.000,-0.544,0.500,0.049,0.005,Region,Region_3
39,8,4.00,0.650,10.100,-0.625,0.505,0.171,0.051,Region,Region_3
40,8,4.00,0.667,10.200,-0.700,0.510,0.087,-0.103,Region,Region_3
41,9,4.50,0.683,10.300,-0.768,0.515,0.249,-0.004,Region,Region_3
42,9,4.50,0.700,10.400,-0.828,0.520,0.016,-0.292,Region,Region_3
43,9,4.50,0.717,10.500,-0.880,0.525,0.078,-0.277,Region,Region_3
44,9,4.50,0.733,10.600,-0.923,0.530,0.118,-0.275,Region,Region_3
45,9,4.50,0.750,10.700,-0.957,0.535,0.018,-0.403,Region,Region_3
46,10,5.00,0.767,10.800,-0.981,0.540,0.132,-0.309,Region,Region_3
47,10,5.00,0.783,10.900,-0.995,0.545,0.028,-0.422,Region,Region_3
48,10,5.00,0.800,11.000,-1.000,0.550,0.166,-0.284,Region,Region_3
49,10,5.00,0.817,11.100,-0.995,0.555,0.152,-0.288,Region,Region_3
50,10,5.00,0.833,11.200,-0.979,0.560,0.249,-0.170,Region,Region_3
51,11,5.50,0.850,11.300,-0.954,0.565,0.196,-0.193,Region,Region_3
52,11,5.50,0.867,11.400,-0.919,0.570,0.240,-0.109,Region,Region_3
53,11,5.50,0.883,11.500,-0.875,0.575,0.104,-0.196,Region,Region_3
54,11,5.50,0.900,11.600,-0.823,0.580,0.161,-0.081,Region,Region_3
55,11,5.50,0.917,11.700,-0.762,0.585,0.226,0.049,Region,Region_3
56,12,6.00,0.933,11.800,-0.694,0.590,0.128,0.024,Region,Region_3
57,12,6.00,0.950,11.900,-0.618,0.595,0.076,0.053,Region,Region_3
58,12,6.00,0.967,12.000,-0.537,0.600,0.001,0.065,Region,Region_3
59,12,6.00,0.983,12.100,-0.450,0.605,0.156,0.311,Region,Region_3
60,12,6.00,1.000,12.200,-0.358,0.610,0.062,0.314,Region,Region_3
61,12,6.00,1.017,12.300,-0.263,0.615,0.177,0.529,Region,Region_3
62,1,0.50,1.033,12.400,-0.166,0.620,0.145,0.600,Region,Region_3
63,12,6.00,1.050,12.500,-0.066,0.625,0.179,0.737,Region,Region_3
1,1,0.50,0.017,12.600,0.034,0.630,0.021,0.684,Region,Region_3
2,1,0.50,0.033,12.700,0.133,0.635,0.121,0.889,Region,Region_3
3,1,0.50,0.050,12.800,0.232,0.640,0.233,1.105,Region,Region_3
4,1,0.50,0.067,12.900,0.327,0.645,0.215,1.188,Region,Region_3
5,1,0.50,0.083,13.000,0.420,0.650,0.123,1.193,Region,Region_3
6,2,1.00,0.100,13.100,0.509,0.655,0.205,1.369,Region,Region_3
7,2,1.00,0.117,13.200,0.592,0.660,0.096,1.348,Region,Region_3
8,2,1.00,0.133,13.300,0.670,0.665,0.074,1.408,Region,Region_3
9,2,1.00,0.150,13.400,0.740,0.670,0.134,1.545,Region,Region_3
10,2,1.00,0.167,13.500,0.804,0.675,0.035,1.513,Region,Region_3
11,3,1.50,0.183,13.600,0.859,0.680,0.193,1.732,Region,Region_3
12,3,1.50,0.200,13.700,0.906,0.685,0.102,1.693,Region,Region_3
13,3,1.50,0.217,13.800,0.944,0.690,0.221,1.855,Region,Region_3
14,3,1.50,0.233,13.900,0.972,0.695,0.013,1.680,Region,Region_3
15,3,1.50,0.250,14.000,0.991,0.700,0.202,1.892,Region,Region_3
16,4,2.00,0.267,14.100,0.999,0.705,0.204,1.909,Region,Region_3
17,4,2.00,0.283,14.200,0.998,0.710,0.130,1.838,Region,Region_3
18,4,2.00,0.300,14.300,0.987,0.715,0.141,1.842,Region,Region_3
