"Sub_region","Season","Month2","mean.Inshore","sd.Inshore","mean.Mid channel","sd.Mid channel","mean.Offshore","sd.Offshore","mean.Oceanic","sd.Oceanic"
"MK","Winter","Feb",4,0.2,3.72,0.11,3.59,0.21,3.7,0.23
"MK","Winter","Mar",3.93,0.16,3.86,0.32,3.71,0.06,3.72,0.05
"MK","Spring","Apr",4.42,0.23,4.13,0.21,3.81,0.13,3.69,0.11
"MK","Spring","May",4.5,0.28,4.2,0.3,3.82,0.13,3.75,0.15
"MK","Spring","Jun",4.03,0.49,3.93,0.32,3.93,0.17,3.91,0.06
"MK","Summer","Jul",3.58,0.33,3.74,0.23,3.8,0.18,3.88,0.19
"MK","Summer","Aug",3.77,0.42,4.03,0.22,4.04,0.09,4.02,0.04
"MK","Summer","Sep",3.39,0.4,3.59,0.15,3.83,0.2,3.95,0.26
"MK","Fall","Oct",3.5,0.41,3.8,0.21,3.9,0.16,3.91,0.17
"MK","Fall","Nov",3.33,0.38,3.51,0.35,3.7,0.31,3.8,0.28
"MK","Fall","Dec",3.4,0.23,3.5,0.2,3.67,0.16,3.67,0.16
"LK","Winter","Jan",2.98,0.28,3.2,0.37,3.56,0.09,3.64,0.09
"LK","Winter","Feb",3.6,0.4,3.65,0.38,3.5,0.28,3.66,0.28
"LK","Winter","Mar",3.86,0.41,3.72,0.11,3.72,0.04,3.75,0.04
"LK","Spring","Apr",3.95,0.3,3.81,0.45,3.64,0.21,3.66,0.11
"LK","Spring","May",3.83,0.26,3.83,0.24,3.71,0.08,3.73,0.03
"LK","Spring","Jun",3.67,0.4,3.82,0.19,3.8,0.12,3.87,0.12
"LK","Summer","Jul",3.26,0.38,3.7,0.15,3.71,0.23,3.8,0.15
"LK","Summer","Aug",3.31,0.45,3.73,0.19,3.88,0.14,3.96,0.05
"LK","Summer","Sep",3.24,0.35,3.57,0.2,3.78,0.22,3.96,0.27
"LK","Fall","Oct",3.16,0.21,3.71,0.23,3.82,0.1,3.88,0.13
"LK","Fall","Nov",3.03,0.2,3.48,0.29,3.6,0.28,3.7,0.33
"LK","Fall","Dec",3.2,0.34,3.57,0.17,3.7,0.17,3.73,0.11
