"Zone","Sub_region","Season","Month","Region","Tem_mean","Tem_sd","Sal_mean","Sal_sd","TA_mean","TA_sd","nTA_mean","nTA_sd","nDIC_mean","nDIC_sd","DIC_mean","DIC_sd","pCO2_mean","pCO2_sd","pH_mean","pH_sd","Ara_mean","Ara_sd","n"
"Offshore","LK","Fall","Dec","FL",25.58,0.63,35.88,0.51,2380.02,8.63,2388.39,38.29,2058.81,38.89,2051.58,20.47,392.63,33.9,8.06,0.03,3.7,0.17,17
"Offshore","LK","Winter","Jan","FL",24.25,1,36.23,0.38,2386.77,15.95,2371.67,36.13,2055.56,33.32,2068.63,17.72,394.57,7.44,8.06,0.01,3.56,0.09,18
"Offshore","LK","Winter","Feb","FL",22.68,1.51,35.74,0.47,2381.84,15.26,2399.41,28.79,2082.86,41.49,2067.51,27.75,371.81,29.54,8.08,0.03,3.5,0.28,7
"Offshore","LK","Winter","Mar","FL",25.56,0.85,36.39,0.09,2382.42,5.06,2358.3,8.42,2026.69,9.31,2048.84,5.26,387.59,16.09,8.06,0.02,3.72,0.04,11
"Oceanic","UK","Spring","Apr","FL",25.48,0.59,36.15,0.2,2380.02,3.38,2369.83,9.87,2033.93,12.24,2042.67,7.27,377.17,19.18,8.07,0.02,3.78,0.07,3
"Oceanic","UK","Spring","May","FL",26.32,NA,36.5,NA,2395.83,NA,2362.64,NA,2018.33,NA,2046.68,NA,378.55,NA,8.07,NA,3.91,NA,1
"Oceanic","UK","Spring","Jun","FL",28.43,0.76,36.28,0.1,2384.55,3.57,2365.91,6.83,2023.93,15.27,2039.87,12.86,413.84,21.73,8.04,0.02,3.92,0.12,5
"Oceanic","UK","Summer","Jul","FL",30.55,0.78,35.1,1.62,2366.09,12.43,2430.16,103.51,2089.25,114.12,2033.32,13.2,454.18,42.15,8,0.03,3.9,0.19,4
"Oceanic","UK","Summer","Aug","FL",30.14,NA,36.36,NA,2411.39,NA,2387.06,NA,2032.79,NA,2053.5,NA,428.5,NA,8.03,NA,4.12,NA,1
"Oceanic","UK","Summer","Sep","FL",30.34,0.81,35.05,0.76,2375.68,19.7,2440.41,54.99,2092.68,53.83,2037.37,46.08,442.88,52.66,8.02,0.04,3.96,0.32,3
"Oceanic","UK","Fall","Oct","FL",29.57,0.45,35.33,0.55,2374.33,6.18,2419.56,33.83,2077.16,43.28,2038.2,13.85,435.21,32.22,8.02,0.02,3.9,0.2,3
"Oceanic","UK","Fall","Nov","FL",27.61,0.38,35.75,0.05,2376.22,20.06,2392.43,16.55,2082.2,51.05,2068.12,53.85,467.22,88.52,8,0.06,3.54,0.33,2
"Oceanic","UK","Fall","Dec","FL",25.88,0.29,36.22,0.13,2388.96,7.65,2374.11,3.58,2043.99,20.89,2056.77,19.93,397.08,35.16,8.06,0.03,3.74,0.18,4
"Oceanic","UK","Winter","Jan","FL",25.87,1.3,36.09,0.51,2380.18,20.44,2374.56,45.92,2044.06,42.83,2048.89,22.88,392.74,9.06,8.06,0.01,3.73,0.06,3
"Oceanic","UK","Winter","Feb","FL",23.26,0.01,36.08,0.3,2382.06,2.62,2376.84,22.55,2051.13,30.67,2055.59,13.49,362.03,15.67,8.09,0.01,3.62,0.1,2
"Oceanic","UK","Winter","Mar","FL",25.29,0.55,36.26,0.31,2374.2,15.92,2356.74,5.04,2024.3,3.92,2039.34,20.28,377.45,11.83,8.07,0.01,3.74,0.08,3
"Oceanic","MK","Spring","Apr","FL",26.2,0.65,36.4,0.21,2382.17,6.26,2356,10.22,2031.41,8.4,2054.02,14.79,408.73,32.28,8.04,0.03,3.69,0.11,6
"Oceanic","MK","Spring","May","FL",26.75,0.88,36.34,0.22,2392.04,8.48,2369.62,14.43,2040.65,18.85,2059.93,10.1,413.24,30.26,8.04,0.03,3.75,0.15,4
"Oceanic","MK","Spring","Jun","FL",28.58,1.03,36.36,0.12,2382.76,13.72,2358.76,10.84,2018.29,14.51,2038.82,16.51,417.96,24.74,8.03,0.02,3.91,0.06,8
"Oceanic","MK","Summer","Jul","FL",30.3,0.41,35.54,0.76,2370.33,14.82,2401.5,39.15,2064.3,48.81,2037.32,22.1,456.1,41.62,8,0.03,3.88,0.19,8
"Oceanic","MK","Summer","Aug","FL",30.26,0.37,36,0.31,2391.65,8.54,2391.29,15.9,2043.46,13.82,2043.77,6.52,437.82,9.66,8.02,0.01,4.02,0.04,6
"Oceanic","MK","Summer","Sep","FL",30.03,0.67,35.42,0.64,2384.81,17.35,2424.23,43.02,2079.59,38.75,2046,38.38,444.19,46.63,8.01,0.03,3.95,0.26,6
"Oceanic","MK","Fall","Oct","FL",29.42,0.41,35.53,0.3,2384.2,12.25,2416.05,26.78,2073.84,20.78,2046.52,8.44,435.7,29.12,8.02,0.02,3.91,0.17,6
"Oceanic","MK","Fall","Nov","FL",27.63,0.18,36.3,0.6,2382.91,12.62,2363.62,43.59,2031.17,60.6,2047.53,35.2,420.61,58.48,8.03,0.04,3.8,0.28,5
"Oceanic","MK","Fall","Dec","FL",25.69,0.34,36,0.2,2376.06,11.33,2376.17,17.81,2049.87,26.17,2049.79,25.03,397.78,31.95,8.05,0.03,3.67,0.16,10
"Oceanic","MK","Winter","Jan","FL",25.15,1.15,36.13,0.46,2383.81,14.25,2375.37,39.14,2048.74,39.58,2055.98,19.15,389.25,8.14,8.06,0.01,3.68,0.06,6
"Oceanic","MK","Winter","Feb","FL",23.79,2,36.01,0.17,2379.68,18.09,2378.74,16.59,2046.28,30.73,2047.1,32.45,358.48,14.68,8.09,0.01,3.7,0.23,4
"Oceanic","MK","Winter","Mar","FL",25.75,0.78,36.39,0.06,2378.1,4.55,2352.23,4.63,2023.26,6.75,2045.51,6.05,391,7.35,8.06,0.01,3.72,0.05,6
"Oceanic","LK","Spring","Apr","FL",26.23,0.37,36.28,0.29,2375.54,13.93,2356.93,13.14,2034.32,15.94,2050.44,23.51,410.94,25.42,8.04,0.02,3.66,0.11,8
"Oceanic","LK","Spring","May","FL",26.48,0.68,36.41,0.24,2386.71,4.89,2359.47,18.23,2032.53,17.03,2055.98,4.5,409.48,11.96,8.04,0.01,3.73,0.03,4
"Oceanic","LK","Spring","Jun","FL",28.46,1.27,36.31,0.22,2382.75,11.29,2362.65,18.77,2025.58,20.41,2042.79,13.44,423.06,28.71,8.03,0.03,3.87,0.12,10
"Oceanic","LK","Summer","Jul","FL",30.17,0.49,35.46,1.15,2372.45,10.89,2410.36,72.38,2079.83,69.46,2047.01,20.92,468.8,40.35,7.99,0.03,3.8,0.15,5
"Oceanic","LK","Summer","Aug","FL",30.39,0.34,36,0.31,2386.78,6.27,2386.85,19.85,2050.5,21.27,2047.01,3.36,447.78,9.75,8.01,0.01,3.96,0.05,8
"Oceanic","LK","Summer","Sep","FL",30,0.47,35.2,0.8,2378.41,18.77,2433.11,43.57,2086.02,33.36,2039.45,40.48,439.02,54.27,8.02,0.04,3.96,0.27,6
"Oceanic","LK","Fall","Oct","FL",29.22,0.36,35.48,0.36,2376.46,7.79,2411.62,27.5,2071.38,20.34,2041.21,7.99,432.83,20.56,8.02,0.02,3.88,0.13,7
"Oceanic","LK","Fall","Nov","FL",27.64,0.24,36.06,0.3,2385.01,7.66,2381.36,26.11,2057.55,54.3,2060.54,40.53,441.76,72.94,8.02,0.06,3.7,0.33,5
"Oceanic","LK","Fall","Dec","FL",26.01,0.94,35.8,0.73,2379.11,9.48,2393.19,49.72,2061.71,47.31,2049.54,17.04,395.79,31.83,8.06,0.03,3.73,0.11,9
"Oceanic","LK","Winter","Jan","FL",24.77,1.23,36.32,0.34,2384.6,15.88,2363.62,31.75,2041.09,33.75,2059.19,22.53,389.76,7.62,8.06,0.01,3.64,0.09,7
"Oceanic","LK","Winter","Feb","FL",23.23,1.38,36.1,0.2,2386.63,16.28,2379.58,8.96,2050.89,18.06,2056.93,15.93,358.85,21.26,8.09,0.02,3.66,0.28,6
"Oceanic","LK","Winter","Mar","FL",25.97,1.01,36.36,0.09,2376.79,5.25,2353.32,5.18,2021.89,5.79,2042.06,6.77,390.1,16.06,8.06,0.02,3.75,0.04,6
